Date,Predicted_Strategy,Strategy_Probabilities
2024-07-26,MeanReversion,0.82
2024-07-29,ML_Strategy,0.52
2024-07-30,TCVS_Dynamic,0.89
2024-07-31,MeanReversion,0.72
2024-08-01,TCVS_Dynamic,0.94
2024-08-02,TCVS_Dynamic,0.95
2024-08-05,TCVS_Dynamic,0.93
2024-08-06,MeanReversion,0.81
2024-08-07,TCVS_Dynamic,0.95
2024-08-08,MeanReversion,0.81
2024-08-09,MeanReversion,0.87
2024-08-12,MeanReversion,0.83
2024-08-13,MeanReversion,0.79
2024-08-14,MeanReversion,0.78
2024-08-15,MeanReversion,0.43
2024-08-16,ML_Strategy,0.61
2024-08-19,ML_Strategy,0.75
2024-08-20,TCVS_Dynamic,0.7
2024-08-21,ML_Strategy,0.86
2024-08-22,TCVS_Dynamic,0.91
2024-08-23,ML_Strategy,0.9
2024-08-26,TCVS_Dynamic,0.8
2024-08-27,ML_Strategy,0.82
2024-08-28,TCVS_Dynamic,0.89
2024-08-29,ML_Strategy,0.64
2024-08-30,ML_Strategy,0.78
2024-09-03,TCVS_Dynamic,0.74
2024-09-04,TCVS_Dynamic,0.82
2024-09-05,TCVS_Dynamic,0.88
2024-09-06,TCVS_Dynamic,0.88
2024-09-09,MeanReversion,0.7
2024-09-10,MeanReversion,0.68
2024-09-11,MeanReversion,0.67
2024-09-12,MeanReversion,0.87
2024-09-13,MeanReversion,0.8
2024-09-16,ML_Strategy,0.67
2024-09-17,ML_Strategy,0.86
2024-09-18,TCVS_Dynamic,0.8
2024-09-19,ML_Strategy,0.84
2024-09-20,TCVS_Dynamic,0.9
2024-09-23,ML_Strategy,0.92
2024-09-24,ML_Strategy,0.93
2024-09-25,TCVS_Dynamic,0.94
2024-09-26,ML_Strategy,0.88
2024-09-27,TCVS_Dynamic,0.88
2024-09-30,ML_Strategy,0.93
2024-10-01,TCVS_Dynamic,0.89
2024-10-02,ML_Strategy,0.73
2024-10-03,TCVS_Dynamic,0.92
2024-10-04,ML_Strategy,0.79
2024-10-07,TCVS_Dynamic,0.87
2024-10-08,ML_Strategy,0.56
2024-10-09,ML_Strategy,0.7
2024-10-10,TCVS_Dynamic,0.68
2024-10-11,ML_Strategy,0.65
2024-10-14,ML_Strategy,0.88
2024-10-15,TCVS_Dynamic,0.81
2024-10-16,ML_Strategy,0.79
2024-10-17,ML_Strategy,0.65
2024-10-18,ML_Strategy,0.87
2024-10-21,TCVS_Dynamic,0.87
2024-10-22,TCVS_Dynamic,0.83
2024-10-23,TCVS_Dynamic,0.76
2024-10-24,ML_Strategy,0.7
2024-10-25,TCVS_Dynamic,0.73
2024-10-28,ML_Strategy,0.57
2024-10-29,ML_Strategy,0.62
2024-10-30,TCVS_Dynamic,0.9
2024-10-31,TCVS_Dynamic,0.84
2024-11-01,MeanReversion,0.57
2024-11-04,TCVS_Dynamic,0.88
2024-11-05,ML_Strategy,0.51
2024-11-06,MeanReversion,0.58
2024-11-07,TCVS_Dynamic,0.36
2024-11-08,ML_Strategy,0.68
2024-11-11,ML_Strategy,0.67
2024-11-12,TCVS_Dynamic,0.76
2024-11-13,ML_Strategy,0.78
2024-11-14,TCVS_Dynamic,0.79
2024-11-15,TCVS_Dynamic,0.55
2024-11-18,ML_Strategy,0.63
2024-11-19,ML_Strategy,0.54
2024-11-20,TCVS_Dynamic,0.54
2024-11-21,ML_Strategy,0.52
2024-11-22,TCVS_Dynamic,0.57
2024-11-25,TCVS_Dynamic,0.71
2024-11-26,TCVS_Dynamic,0.67
2024-11-27,TCVS_Dynamic,0.63
2024-11-29,TCVS_Dynamic,0.61
2024-12-02,ML_Strategy,0.88
2024-12-03,ML_Strategy,0.94
2024-12-04,ML_Strategy,0.93
2024-12-05,TCVS_Dynamic,0.96
2024-12-06,ML_Strategy,0.96
2024-12-09,TCVS_Dynamic,0.93
2024-12-10,TCVS_Dynamic,0.92
2024-12-11,ML_Strategy,0.79
2024-12-12,TCVS_Dynamic,0.77
2024-12-13,TCVS_Dynamic,0.79
2024-12-16,ML_Strategy,0.73
2024-12-17,TCVS_Dynamic,0.72
2024-12-18,TCVS_Dynamic,0.89
2024-12-19,TCVS_Dynamic,0.92
2024-12-20,MeanReversion,0.77
2024-12-23,MeanReversion,0.73
2024-12-24,MeanReversion,0.58
2024-12-26,MeanReversion,0.69
2024-12-27,TCVS_Dynamic,0.88
2024-12-30,TCVS_Dynamic,0.88
2024-12-31,TCVS_Dynamic,0.91
2025-01-02,TCVS_Dynamic,0.83
2025-01-03,MeanReversion,0.46
2025-01-06,MeanReversion,0.52
2025-01-07,TCVS_Dynamic,0.9
2025-01-08,MeanReversion,0.64
2025-01-10,TCVS_Dynamic,0.98
2025-01-13,MeanReversion,0.54
2025-01-14,ML_Strategy,0.51
2025-01-15,ML_Strategy,0.47
2025-01-16,TCVS_Dynamic,0.89
2025-01-17,MeanReversion,0.7
2025-01-21,ML_Strategy,0.82
2025-01-22,ML_Strategy,0.59
2025-01-23,ML_Strategy,0.85
2025-01-24,TCVS_Dynamic,0.72
2025-01-27,TCVS_Dynamic,0.85
2025-01-28,ML_Strategy,0.8
2025-01-29,TCVS_Dynamic,0.81
2025-01-30,ML_Strategy,0.86
2025-01-31,TCVS_Dynamic,0.76
2025-02-03,TCVS_Dynamic,0.86
2025-02-04,ML_Strategy,0.83
2025-02-05,ML_Strategy,0.67
2025-02-06,ML_Strategy,0.75
2025-02-07,TCVS_Dynamic,0.85
2025-02-10,TCVS_Dynamic,0.51
2025-02-11,ML_Strategy,0.67
2025-02-12,TCVS_Dynamic,0.64
2025-02-13,ML_Strategy,0.56
2025-02-14,TCVS_Dynamic,0.59
2025-02-18,ML_Strategy,0.84
2025-02-19,ML_Strategy,0.86
2025-02-20,TCVS_Dynamic,0.76
2025-02-21,TCVS_Dynamic,0.58
2025-02-24,TCVS_Dynamic,0.56
2025-02-25,TCVS_Dynamic,0.83
2025-02-26,ML_Strategy,0.54
2025-02-27,TCVS_Dynamic,0.95
2025-02-28,MeanReversion,0.6
2025-03-03,TCVS_Dynamic,0.98
2025-03-04,TCVS_Dynamic,0.99
2025-03-05,MeanReversion,0.7
2025-03-06,TCVS_Dynamic,0.98
2025-03-07,MeanReversion,0.72
2025-03-10,TCVS_Dynamic,0.91
2025-03-11,TCVS_Dynamic,0.93
2025-03-12,MeanReversion,0.77
2025-03-13,TCVS_Dynamic,0.98
2025-03-14,MeanReversion,0.66
2025-03-17,MeanReversion,0.88
2025-03-18,TCVS_Dynamic,0.97
2025-03-19,MeanReversion,0.94
2025-03-20,TCVS_Dynamic,0.86
2025-03-21,MeanReversion,0.44
2025-03-24,MeanReversion,0.52
2025-03-25,MeanReversion,0.5
2025-03-26,TCVS_Dynamic,0.64
2025-03-27,TCVS_Dynamic,0.75
2025-03-28,TCVS_Dynamic,0.56
2025-03-31,ML_Strategy,0.69
2025-04-01,ML_Strategy,0.59
2025-04-02,ML_Strategy,0.57
2025-04-03,TCVS_Dynamic,0.86
2025-04-04,TCVS_Dynamic,0.75
2025-04-07,TCVS_Dynamic,0.91
2025-04-08,TCVS_Dynamic,0.75
2025-04-09,MeanReversion,0.82
2025-04-10,TCVS_Dynamic,0.7
2025-04-11,MeanReversion,0.92
2025-04-14,MeanReversion,0.91
2025-04-15,ML_Strategy,0.58
2025-04-16,TCVS_Dynamic,0.71
2025-04-17,MeanReversion,0.52
2025-04-21,TCVS_Dynamic,0.73
2025-04-22,MeanReversion,0.67
2025-04-23,ML_Strategy,0.56
2025-04-24,MeanReversion,0.56
2025-04-25,ML_Strategy,0.53
2025-04-28,ML_Strategy,0.51
2025-04-29,ML_Strategy,0.64
2025-04-30,ML_Strategy,0.76
2025-05-01,ML_Strategy,0.9
2025-05-02,ML_Strategy,0.83
2025-05-05,TCVS_Dynamic,0.61
2025-05-06,TCVS_Dynamic,0.78
2025-05-07,ML_Strategy,0.92
2025-05-08,ML_Strategy,0.82
2025-05-09,TCVS_Dynamic,0.77
